,bill,year
110,National Parks Amendment Act 2008,2008.0
111,New Zealand Geographic Board (Ngā Pou Taunaha o Aotearoa) Act 2008,2008.0
112,New Zealand Geographic Board (Ngā Pou Taunaha o Aotearoa) Bill,2008.0
113,New Zealand Guardian Trust Company Amendment Act 2008,2008.0
114,New Zealand Horticulture Export Authority Amendment Act 2008,2008.0
115,Palmerston North Showgrounds Act Repeal Bill,2008.0
116,Parliamentary Service Amendment Act 2008,2008.0
117,Parliamentary Service Amendment Bill,2008.0
118,Patents Bill,2008.0
119,Personal Property Securities Amendment Bill,2008.0
120,Policing Act 2008,2008.0
121,Port Nicholson Block (Taranaki Whānui ki Te Upoko o Te Ika) Claims Settlement Bill,2008.0
122,Privacy (Cross-border Information) Amendment Bill,2008.0
123,Private Security Personnel and Private Investigators Bill,2008.0
124,Property (Relationships) Amendment Act 2008,2008.0
125,Protected Disclosures Amendment Bill,2008.0
126,Protection of Personal and Property Rights Amendment Act 2008,2008.0
127,Public Lending Right for New Zealand Authors Act 2008,2008.0
128,Public Lending Right for New Zealand Authors Bill,2008.0
129,Radiocommunications Amendment Act 2008,2008.0
130,Radiocommunications Amendment Act (No 2) 2008,2008.0
131,Radiocommunications Amendment Bill (No 5),2008.0
132,Real Estate Agents Act 2008,2008.0
133,Regulatory Improvement Bill,2008.0
134,Reserve Bank of New Zealand Amendment Act 2008,2008.0
135,Reserve Bank of New Zealand Amendment Bill,2008.0
136,Reserves Amendment Act 2008,2008.0
137,Reserves and Other Lands Disposal Bill,2008.0
138,Resource Management Amendment Act 2008,2008.0
139,Securities Amendment Bill,2008.0
140,Securities (Local Authority Exemption) Amendment Bill,2008.0
141,Securities Markets Amendment Bill,2008.0
142,Sentencing (Offences Against Children) Amendment Act 2008,2008.0
143,Sentencing (Offences Against Children) Amendment Bill,2008.0
144,Social Assistance (Payment of New Zealand Superannuation and Veteran’s Pension Overseas) Amendment Bill,2008.0
145,Subordinate Legislation (Confirmation and Validation) Bill (No 4),2008.0
146,Summary Offences (Tagging and Graffiti Vandalism) Amendment Act 2008,2008.0
147,Summary Offences (Tagging and Graffiti Vandalism) Amendment Bill,2008.0
148,Summary Proceedings Amendment Act 2008,2008.0
149,Summary Proceedings Amendment Act (No 2) 2008,2008.0
150,Tariff Amendment Act 2008,2008.0
151,Tariff Amendment Act (No 2) 2008,2008.0
152,Tariff Amendment Bill,2008.0
153,"Taxation (International Taxation, Life Insurance, and Remedial Matters) Bill",2008.0
154,Taxation (Limited Partnerships) Act 2008,2008.0
155,"Taxation (Personal Tax Cuts, Annual Rates, and Remedial Matters) Act 2008",2008.0
156,"Taxation (Personal Tax Cuts, Annual Rates, and Remedial Matters) Bill 2008",2008.0
157,Taxation (Urgent Measures and Annual Rates) Act 2008,2008.0
158,Taxation (Urgent Measures and Annual Rates) Bill,2008.0
159,Te Roroa Claims Settlement Act 2008,2008.0
160,Te Ture Whenua Maori Amendment Act 2008,2008.0
161,Te Ture Whenua Maori Amendment Bill (No 3),2008.0
162,Telecommunications (International Co-operation) Amendment Bill,2008.0
163,Trade Marks Amendment Bill,2008.0
164,Trade (Safeguard Measures) Bill,2008.0
165,Treaty of Waitangi Amendment Act 2008,2008.0
166,Treaty of Waitangi Amendment Bill (No 2),2008.0
167,Unit Titles Bill,2008.0
168,Veterinarians Amendment Act 2008,2008.0
169,Victims' Rights Amendment Act 2008,2008.0
170,Waikato-Tainui Raupatu Claims (Waikato River) Settlement Bill,2008.0
171,Waitakere Ranges Heritage Area Act 2008,2008.0
172,Walking Access Act 2008,2008.0
173,Walking Access Bill,2008.0
174,Waste Minimisation Act 2008,2008.0
175,Waste Minimisation Bill,2008.0
176,Whakarewarewa and Roto-a-Tamaheke Vesting Bill,2008.0
177,Adoption Amendment Bill,2009.0
178,Affordable Housing: Enabling Territorial Authorities Act Repeal Bill,2009.0
179,Antarctica (Environmental Protection: Liability Annex) Amendment Bill,2009.0
180,Anti-Money Laundering and Countering Financing of Terrorism Act 2009,2009.0
181,Anti-Money Laundering and Countering Financing of Terrorism Bill,2009.0
182,Appropriation (2007/08 Financial Review) Bill,2009.0
183,Appropriation (2008/09 Financial Review) Bill,2009.0
184,Appropriation (2008/09 Supplementary Estimates) Bill,2009.0
185,Appropriation (2009/10 Estimates) Bill,2009.0
186,Bail Amendment Act 2009,2009.0
187,Biosecurity Amendment Act 2009,2009.0
188,Biosecurity Amendment Bill,2009.0
189,"Border (Customs, Excise, and Tariff) Processing Bill",2009.0
190,Building Amendment Act 2009,2009.0
191,Care of Children Amendment Bill,2009.0
192,Carter Observatory Act Repeal Bill,2009.0
193,"Children, Young Persons, and Their Families (Youth Courts Jurisdiction and Orders) Amendment Bill",2009.0
194,Christ's College (Canterbury) Amendment Bill,2009.0
195,Climate Change Response (Emissions Trading Forestry Sector) Amendment Act 2009,2009.0
196,Climate Change Response (Emissions Trading Forestry Sector) Amendment Bill,2009.0
197,Climate Change Response (Moderated Emissions Trading) Amendment Act 2009,2009.0
198,Climate Change Response (Moderated Emissions Trading) Amendment Bill,2009.0
199,Cluster Munitions Prohibition Act 2009,2009.0
200,Cluster Munitions (Prohibition) Prohibition Bill,2009.0
201,Corrections Amendment Act 2009,2009.0
202,Corrections (Contract Management of Prisons) Amendment Act 2009,2009.0
203,Corrections (Contract Management of Prisons) Amendment Bill,2009.0
204,Corrections (Use of Court Cells) Amendment Act 2009,2009.0
205,Corrections (Use of Court Cells) Amendment Bill,2009.0
206,Courts (Remote Participation) Bill,2009.0
207,Crimes Amendment Act 2009,2009.0
208,Crimes (Provocation Repeal) Amendment Act 2009,2009.0
209,Crimes (Provocation Repeal) Amendment Bill,2009.0
210,Criminal Investigations (Bodily Samples) Amendment Act 2009,2009.0
211,Criminal Investigations (Bodily Samples) Amendment Bill,2009.0
212,Criminal Proceeds (Recovery) Act 2009,2009.0
213,Crown Retail Deposit Guarantee Scheme Act 2009,2009.0
214,Crown Retail Deposit Guarantee Scheme Bill,2009.0
215,Customs and Excise (AANZFTA) Amendment Bill,2009.0
216,Dairy Industry Restructuring (Raw Milk Pricing Methods) Bill,2009.0
217,Disputes Tribunals Amendment Act 2009,2009.0
218,Disputes Tribunals Amendment Bill,2009.0
219,Domestic Violence Amendment Bill (No 2),2009.0
220,Eden Park Trust Amendment Act 2009,2009.0
221,Eden Park Trust Amendment Bill,2009.0
222,Education Amendment Bill,2009.0
223,Education (Freedom of Association) Amendment Bill,2009.0
224,Education (Polytechnics) Amendment Bill,2009.0
225,Electoral (Administration) Amendment Bill,2009.0
226,Electoral Amendment Act 2009,2009.0
227,Electoral Amendment Bill,2009.0
228,Electricity Industry Bill,2009.0
229,Fair Trading (Soliciting on Behalf of Charities) Amendment Bill,2009.0
230,Financial Advisers Amendment Bill,2009.0
231,Financial Service Providers (Pre-Implementation Adjustments) Bill,2009.0
232,Gangs and Organised Crime Bill,2009.0
233,Government Superannuation Fund Amendment Act 2009,2009.0
234,Human Assisted Reproductive Technology (Storage) Amendment Bill,2009.0
235,Immigration Act 2009,2009.0
236,Imprest Supply (First for 2009/10) Bill,2009.0
237,Imprest Supply (Second for 2009/10) Bill,2009.0
238,Infrastructure (Amendments Relating to Utilities Access) Bill,2009.0
239,"Injury Prevention, Rehabilitation, and Compensation Amendment Bill",2009.0
240,Insolvency Amendment Act 2009,2009.0
241,Insolvency Amendment Bill,2009.0
242,Insurance (Prudential Supervision) Bill,2009.0
243,Land Transport Amendment Act 2009,2009.0
244,Land Transport (Enforcement Powers) Amendment Act 2009,2009.0
245,Land Transport (Enforcement Powers) Amendment Bill,2009.0
246,Limitation Bill,2009.0
247,Local Government Amendment Act 2009,2009.0
248,Local Government (Auckland Council) Act 2009,2009.0
249,Local Government (Auckland Council) Amendment Bill,2009.0
250,Local Government (Auckland Council) Bill,2009.0
251,Local Government (Auckland Reorganisation) Bill,2009.0
252,Local Government (Auckland Transitional Provisions) Bill,2009.0
253,Local Government (Tamaki Makaurau Reorganisation) Amendment Bill,2009.0
254,Maori Commercial Aquaculture Claims Settlement (Regional Agreements) Amendment Bill,2009.0
255,Māori Trustee Amendment Act 2009,2009.0
256,Methodist Church of New Zealand Trusts Act 2009,2009.0
