,bill,year
1862,Kāinga Ora–Homes and Communities Act 2019,2019.0
1863,Kāinga Ora–Homes and Communities Bill,2019.0
1864,KiwiSaver (Oranga Tamariki Guardians) Amendment Act 2019,2019.0
1865,Land Transport (NZTA) Legislation Amendment Bill,2019.0
1866,Land Transport (Rail) Legislation Bill,2019.0
1867,Land Transport (Wheel Clamping) Amendment Act 2019,2019.0
1868,Land Transport (Wheel Clamping) Amendment Bill,2019.0
1869,Legislation Act 2019,2019.0
1870,Legislation (Repeals and Amendments) Act 2019,2019.0
1871,Local Electoral Matters Act 2019,2019.0
1872,Local Government Act 2002 Amendment Act 2019,2019.0
1873,Local Government (Community Well-being) Amendment Act 2019,2019.0
1874,Local Government Regulatory Systems Amendment Act 2019,2019.0
1875,Maritime Transport (Offshore Installations) Amendment Act 2019,2019.0
1876,Maritime Transport (Offshore Installations) Amendment Bill,2019.0
1877,Mental Health and Wellbeing Commission Bill,2019.0
1878,Misuse of Drugs Amendment Act 2019,2019.0
1879,Misuse of Drugs Amendment Bill,2019.0
1880,National Animal Identification and Tracing Amendment Act 2019,2019.0
1881,National Animal Identification and Tracing Amendment Bill (No 2),2019.0
1882,New Zealand Business Number Funding (Validation and Authorisation) Act 2019,2019.0
1883,New Zealand Business Number Funding (Validation and Authorisation) Bill,2019.0
1884,New Zealand Infrastructure Commission/Te Waihanga Act 2019,2019.0
1885,New Zealand Infrastructure Commission/Te Waihanga Bill,2019.0
1886,New Zealand Public Health and Disability (Waikato DHB) Elections Act 2019,2019.0
1887,New Zealand Public Health and Disability (Waikato DHB) Elections Bill,2019.0
1888,New Zealand Superannuation and Retirement Income Amendment Act 2019,2019.0
1889,New Zealand Superannuation and Retirement Income Amendment Bill,2019.0
1890,New Zealand Superannuation and Veteran’s Pension Legislation Amendment Bill,2019.0
1891,Ngā Rohe Moana o Ngā Hapū o Ngāti Porou Act 2019,2019.0
1892,Ngāti Hinerangi Claims Settlement Bill,2019.0
1893,Ngāti Rangi Claims Settlement Act 2019,2019.0
1894,Ombudsmen (Protection of Name) Amendment Bill,2019.0
1895,Oranga Tamariki Legislation Act 2019,2019.0
1896,Oranga Tamariki Legislation Bill,2019.0
1897,Organ Donors and Related Matters Act 2019,2019.0
1898,Organ Donors and Related Matters Bill,2019.0
1899,Parihaka Reconciliation Act 2019Te Ture Haeata ki Parihaka 2019,2019.0
1900,Parliamentary Agencies Delegations Legislation Act 2019,2019.0
1901,Parliamentary Agencies Delegations Legislation Bill,2019.0
1902,Partnership Law Act 2019,2019.0
1903,Partnership Law Bill,2019.0
1904,Public Finance (Wellbeing) Amendment Bill,2019.0
1905,Public Service Legislation Bill,2019.0
1906,Racing Industry Bill,2019.0
1907,Racing Reform Act 2019,2019.0
1908,Racing Reform Bill,2019.0
1909,Rates Rebate (Statutory Declarations) Amendment Bill,2019.0
1910,Referendums Framework Act 2019,2019.0
1911,Referendums Framework Bill,2019.0
1912,Regulatory Systems (Economic Development) Amendment Act 2019,2019.0
1913,Regulatory Systems (Housing) Amendment Act 2019,2019.0
1914,Regulatory Systems (Workforce) Amendment Act 2019,2019.0
1915,Remuneration Authority (Members of Parliament Remuneration) Amendment Act 2019,2019.0
1916,Remuneration Authority (Members of Parliament Remuneration) Amendment Bill (No 2),2019.0
1917,Residential Tenancies Amendment Act 2019,2019.0
1918,Resource Management Amendment Bill,2019.0
1919,Rights for Victims of Insane Offenders Bill,2019.0
1920,Rua Kēnana Pardon Act 2019Te Ture kia Unuhia te Hara kai Runga i a Rua Kēnana 2019,2019.0
1921,Rua Kēnana Pardon BillTe Pire kia Unuhia te Hara kai Runga i a Rua Kēnana,2019.0
1922,Sale and Supply of Alcohol (Rugby World Cup 2019 Extended Trading Hours) Amendment Act 2019,2019.0
1923,Sale and Supply of Alcohol (Rugby World Cup 2019 Extended Trading Hours) Amendment Bill 2019,2019.0
1924,Secondary Legislation Bill,2019.0
1925,Sexual Violence Legislation Bill,2019.0
1926,Smoke-free Environments (Prohibiting Smoking in Motor Vehicles Carrying Children) Amendment Bill,2019.0
1927,Social Assistance Legislation (Budget 2019 Welfare Package) Amendment Act 2019,2019.0
1928,Social Assistance Legislation (Budget 2019 Welfare Package) Amendment Bill,2019.0
1929,Social Security (Winter Energy Payment) Amendment Act 2019,2019.0
1930,Social Security (Winter Energy Payment) Amendment Bill,2019.0
1931,Social Workers Registration Legislation Act 2019,2019.0
1932,Statutes Amendment Act 2019,2019.0
1933,Subordinate Legislation Confirmation Bill (No 4),2019.0
1934,Support Workers (Pay Equity) Settlements Amendment Bill,2019.0
1935,Taumata Arowai–the Water Services Regulator Bill,2019.0
1936,"Taxation (Annual Rates for 2018–19, Modernising Tax Administration, and Remedial Matters) Act 2019",2019.0
1937,"Taxation (Annual Rates for 2019–20, GST Offshore Supplier Registration, and Remedial Matters) Act 2019",2019.0
1938,"Taxation (KiwiSaver, Student Loans, and Remedial Matters) Bill",2019.0
1939,Taxation (Research and Development Tax Credits) Act 2019,2019.0
1940,Te Pire kia Unuhia te Hara kai Runga i a Rua KēnanaRua Kēnana Pardon Bill,2019.0
1941,Te Ture Haeata ki Parihaka 2019Parihaka Reconciliation Act 2019,2019.0
1942,Te Ture kia Unuhia te Hara kai Runga i a Rua Kēnana 2019Rua Kēnana Pardon Act 2019,2019.0
1943,"Te Ture Whenua Maori (Succession, Dispute Resolution, and Related Matters) Amendment Bill",2019.0
1944,Terrorism Suppression (Control Orders) Act 2019,2019.0
1945,Terrorism Suppression (Control Orders) Bill,2019.0
1946,Trusts Act 2019,2019.0
1947,Urban Development Bill,2019.0
1948,Venture Capital Fund Act 2019,2019.0
1949,Venture Capital Fund Bill,2019.0
1950,Veterans' Support Amendment Act 2019,2019.0
1951,Veterans' Support Amendment Bill,2019.0
1952,Abortion Legislation Act 2020,2020.0
1953,Appropriation (2018/19 Confirmation and Validation) Bill,2020.0
1954,Appropriation (2019/20 Supplementary Estimates) Bill,2020.0
1955,Appropriation (2020/21 Estimates) Bill,2020.0
1956,Arms Legislation Act 2020,2020.0
1957,Auckland Regional Amenities Funding Amendment Act 2020,2020.0
1958,"Building (Building Products and Methods, Modular Components, and Other Matters) Amendment Bill",2020.0
1959,Child Support Amendment Bill,2020.0
1960,Climate Change Response (Emissions Trading Reform) Amendment Act 2020,2020.0
1961,"Contraception, Sterilisation, and Abortion (Safe Areas) Amendment Bill",2020.0
1962,COVID-19 Public Health Response Act 2020,2020.0
1963,COVID-19 Public Health Response Amendment Act 2020,2020.0
1964,COVID-19 Public Health Response Amendment Act (No 2) 2020,2020.0
1965,COVID-19 Public Health Response Amendment Bill,2020.0
1966,COVID-19 Public Health Response Amendment Bill,2020.0
1967,COVID-19 Public Health Response Bill,2020.0
1968,COVID-19 Recovery (Fast-track Consenting) Act 2020,2020.0
1969,COVID-19 Recovery (Fast-track Consenting) Bill,2020.0
1970,COVID-19 Response (Further Management Measures) Legislation Act 2020,2020.0
1971,COVID-19 Response (Further Management Measures) Legislation Act (No 2) 2020,2020.0
1972,COVID-19 Response (Further Management Measures) Legislation Bill,2020.0
1973,COVID-19 Response (Further Management Measures) Legislation Bill (No 2),2020.0
1974,COVID-19 Response (Requirements For Entities—Modifications and Exemptions) Act 2020,2020.0
1975,COVID-19 Response (Taxation and Other Regulatory Urgent Measures) Act 2020,2020.0
1976,COVID-19 Response (Taxation and Other Regulatory Urgent Measures) Bill,2020.0
1977,COVID-19 Response (Taxation and Social Assistance Urgent Measures) Act 2020,2020.0
1978,COVID-19 Response (Taxation and Social Assistance Urgent Measures) Bill,2020.0
1979,COVID-19 Response (Urgent Management Measures) Legislation Act 2020,2020.0
1980,COVID-19 Response (Urgent Management Measures) Legislation Bill,2020.0
1981,Crimes (Definition of Female Genital Mutilation) Amendment Act 2020,2020.0
1982,Crown Pastoral Land Reform Bill,2020.0
1983,Customs and Excise (Tobacco) Amendment Act 2020,2020.0
1984,Customs and Excise (Tobacco) Amendment Bill,2020.0
1985,Dairy Industry Restructuring Amendment Act 2020,2020.0
1986,District Court (Protection of Judgment Debtors with Disabilities) Amendment Bill,2020.0
1987,Drug and Substance Checking Legislation Bill,2020.0
1988,Education and Training Act 2020,2020.0
1989,Election Access Fund Act 2020,2020.0
1990,Electoral Amendment Act 2020,2020.0
1991,Electoral (Registration of Sentenced Prisoners) Amendment Act 2020,2020.0
1992,Electoral (Registration of Sentenced Prisoners) Amendment Act (No 2) 2020,2020.0
1993,Electoral (Registration of Sentenced Prisoners) Amendment Bill,2020.0
1994,Electoral (Registration of Sentenced Prisoners) Amendment Bill (No 2),2020.0
1995,Equal Pay Amendment Act 2020,2020.0
1996,Family Court (Supporting Children in Court) Legislation Bill,2020.0
1997,Family Court (Supporting Families in Court) Legislation Act 2020,2020.0
1998,Family Court (Supporting Families in Court) Legislation Bill,2020.0
1999,"Films, Videos, and Publications Classification (Commercial Video on-Demand) Amendment Act 2020",2020.0
2000,"Films, Videos, and Publications Classification (Urgent Interim Classification of Publications and Prevention of Online Harm) Amendment Bill",2020.0
2001,Food (Continuation of Dietary Supplements Regulations) Amendment Bill,2020.0
2002,Forests (Regulation of Log Traders and Forestry Advisers) Amendment Act 2020,2020.0
2003,Forests (Regulation of Log Traders and Forestry Advisers) Amendment Bill,2020.0
2004,Fuel Industry Act 2020,2020.0
2005,Fuel Industry Bill,2020.0
2006,Gas (Information Disclosure and Penalties) Amendment Bill,2020.0
2007,Greater Christchurch Regeneration Amendment Act 2020,2020.0
2008,Greater Christchurch Regeneration Amendment Bill,2020.0
2009,Harmful Digital Communications (Unauthorised Posting of Intimate Visual Recording) Amendment Bill,2020.0
2010,Holidays (Increasing Sick Leave) Amendment Bill,2020.0
2011,Immigration (COVID-19 Response) Amendment Act 2020,2020.0
2012,Immigration (COVID-19 Response) Amendment Bill,2020.0
2013,Imprest Supply (First for 2020/21) Bill,2020.0
2014,Imprest Supply (Second for 2020/21) Bill,2020.0
2015,Imprest Supply (Third for 2019/20) Bill,2020.0
2016,Infrastructure Funding and Financing Act 2020,2020.0
2017,International Crimes and International Criminal Court Amendment Act 2020,2020.0
2018,Land Transport (Drug Driving) Amendment Bill,2020.0
2019,Land Transport (NZTA) Legislation Amendment Act 2020,2020.0
2020,Land Transport (Rail) Legislation Act 2020,2020.0
2021,Local Government (Rating of Whenua Māori) Amendment Bill,2020.0
2022,Maori Commercial Aquaculture Claims Settlement Amendment Bill,2020.0
2023,Mental Health and Wellbeing Commission Act 2020,2020.0
2024,Moriori Claims Settlement Bill,2020.0
2025,New Zealand Bill of Rights (Declarations of Inconsistency) Amendment Bill,2020.0
2026,New Zealand Māori Arts and Crafts Institute Vesting Act 2020,2020.0
2027,New Zealand Public Health and Disability Amendment Act 2020,2020.0
2028,New Zealand Public Health and Disability Amendment Bill,2020.0
2029,New Zealand Superannuation and Veteran’s Pension Legislation Amendment Act 2020,2020.0
2030,Ombudsmen (Protection of Name) Amendment Act 2020,2020.0
2031,Organic Products Bill,2020.0
2032,Overseas Investment Amendment Bill (No 3),2020.0
2033,Overseas Investment (Urgent Measures) Amendment Act 2020,2020.0
2034,Overseas Investment (Urgent Measures) Amendment Bill,2020.0
2035,Privacy Act 2020,2020.0
2036,Protected Disclosures (Protection of Whistleblowers) Bill,2020.0
2037,Public Finance Amendment Act 2020,2020.0
2038,Public Finance (Wellbeing) Amendment Act 2020,2020.0
2039,Public Service Act 2020,2020.0
2040,Racing Industry Act 2020,2020.0
2041,Rates Rebate (Statutory Declarations) Amendment Act 2020,2020.0
2042,Regulatory Systems (Transport) Amendment Bill,2020.0
2043,Remuneration Authority (COVID-19 Measures) Amendment Act 2020,2020.0
2044,Remuneration Authority (COVID-19 Measures) Amendment Bill,2020.0
2045,Reserve Bank of New Zealand Bill,2020.0
2046,Residential Tenancies Amendment Act 2020,2020.0
2047,Residential Tenancies Amendment Bill,2020.0
2048,Resource Management Amendment Act 2020,2020.0
2049,Screen Industry Workers Bill,2020.0
2050,Smoke-free Environments (Prohibiting Smoking in Motor Vehicles Carrying Children) Amendment Act 2020,2020.0
2051,Smokefree Environments and Regulated Products (Vaping) Amendment Act 2020,2020.0
2052,Smokefree Environments and Regulated Products (Vaping) Amendment Bill,2020.0
2053,Social Security (COVID-19 Income Relief Payment to be Income) Amendment Act 2020,2020.0
2054,Social Security (COVID-19 Income Relief Payment to be Income) Amendment Bill,2020.0
2055,Social Security (Financial Assistance for Caregivers) Amendment Bill,2020.0
2056,Subordinate Legislation Confirmation Bill (No 5),2020.0
2057,Support Workers (Pay Equity) Settlements Amendment Act 2020,2020.0
2058,Taumata Arowai–the Water Services Regulator Act 2020,2020.0
2059,"Taxation (Annual Rates for 2020–21, Feasibility Expenditure, and Remedial Matters) Bill",2020.0
2060,Taxation (Income Tax Rate and Other Amendments) Act 2020,2020.0
2061,Taxation (Income Tax Rate and Other Amendments) Bill,2020.0
2062,"Taxation (KiwiSaver, Student Loans, and Remedial Matters) Act 2020",2020.0
2063,"Te Ture Whenua Maori (Succession, Dispute Resolution, and Related Matters) Amendment Act 2020",2020.0
2064,Unit Titles (Strengthening Body Corporate Governance and Other Matters) Amendment Bill,2020.0
2065,Urban Development Act 2020,2020.0
2066,Veterans’ Support Amendment Act 2020,2020.0
2067,Veterans’ Support Amendment Bill (No 2),2020.0
2068,Water Services Bill,2020.0
2069,Accident Insurance (Transitional Provisions) Act 2000 (2000 No 5),2000.0
2070,Accident Insurance Amendment Act 2000 (2000 No 6),2000.0
2071,Adoption Amendment Act 2000 (2000 No 49),2000.0
2072,Agricultural Compounds and Veterinary Medicines Amendment Act 2000 (2000 No 50),2000.0
2073,Airport Authorities Amendment Act 2000 (2000 No 37),2000.0
2074,Alcohol Advisory Council Amendment Act 2000 (2000 No 25),2000.0
2075,Animal Welfare Amendment Act 2000 (2000 No 51),2000.0
2076,Appropriation (1998/99 Financial Review) Act 2000 (2000 No 11),2000.0
2077,Appropriation (1999/2000 Supplementary Estimates) Act 2000 (2000 No 18),2000.0
2078,Appropriation (2000/01 Estimates) Act 2000 (2000 No 30),2000.0
2079,Arbitration (International Investment Disputes) Amendment Act 2000 (2000 No 52),2000.0
2080,"Archives, Culture, and Heritage Reform Act 2000 (2000 No 32)",2000.0
2081,Arms Amendment Act 2000 (2000 No 53),2000.0
2082,Bail Act 2000 (2000 No 38),2000.0
2083,"Births, Deaths, and Marriages Registration Amendment Act 2000 (2000 No 54)",2000.0
2084,Broadcasting Amendment Act 2000 (2000 No 3),2000.0
2085,Burial and Cremation Amendment Act 2000 (2000 No 55),2000.0
2086,Casino Control (Moratorium Extension) Amendment Act 2000 (2000 No 44),2000.0
2087,Citizenship Amendment Act 2000 (2000 No 9),2000.0
2088,Conservation Amendment Act 2000 (2000 No 56),2000.0
2089,Crimes Amendment Act 2000 (2000 No 57),2000.0
2090,Customs and Excise Amendment Act (No 2) 2000 (2000 No 58),2000.0
2091,Customs and Excise Amendment Act 2000 (2000 No 13),2000.0
2092,Dairy Industry Amendment Act (No 2) 2000 (2000 No 23),2000.0
2093,Dairy Industry Amendment Act 2000 (2000 No 16),2000.0
2094,Defence Amendment Act 2000 (2000 No 59),2000.0
2095,Driftnet Prohibition Amendment Act 2000 (2000 No 60),2000.0
2096,Education Amendment Act 2000 (2000 No 21),2000.0
2097,Electricity Amendment Act 2000 (2000 No 61),2000.0
2098,Employment Relations Act 2000 (2000 No 24),2000.0
2099,Energy Efficiency and Conservation Act 2000 (2000 No 14),2000.0
2100,Evidence Amendment Act 2000 (2000 No 62),2000.0
2101,Explosives Amendment Act 2000 (2000 No 63),2000.0
2102,Fair Trading Amendment Act 2000 (2000 No 64),2000.0
2103,Family Courts Amendment Act 2000 (2000 No 65),2000.0
2104,Family Proceedings Amendment Act 2000 (2000 No 66),2000.0
2105,Fire Service Amendment Act 2000 (2000 No 36),2000.0
2106,Fisheries Amendment Act (No 2) 2000 (2000 No 67),2000.0
2107,Fisheries Amendment Act 2000 (2000 No 20),2000.0
2108,Forest and Rural Fires Amendment Act 2000 (2000 No 68),2000.0
2109,Forests (West Coast Accord) Act 2000 (2000 No 45),2000.0
2110,Gaming and Lotteries Amendment Act 2000 (2000 No 46),2000.0
2111,Gas Amendment Act 2000 (2000 No 69),2000.0
2112,Hauraki Gulf Marine Park Act 2000 (2000 No 1),2000.0
2113,Hazardous Substances and New Organisms Amendment Act 2000 (2000 No 89),2000.0
2114,Health Sector (Transfers) Amendment Act 2000 (2000 No 92),2000.0
2115,Housing Restructuring (Income-Related Rents) Amendment Act 2000 (2000 No 22),2000.0
2116,Imprest Supply (First for 2000/01) Act 2000 (2000 No 19),2000.0
2117,Imprest Supply (Second for 2000 - 01) Act 2000 (2000 No 31),2000.0
2118,Imprest Supply (Third for 1999 -2000) Act 2000 (2000 No 12),2000.0
2119,Industry New Zealand Act 2000 (2000 No 27),2000.0
2120,International Crimes and International Criminal Court Act 2000 (2000 No 26),2000.0
2121,Juries Amendment Act 2000 (2000 No 2),2000.0
2122,Layby Sales Amendment Act 2000 (2000 No 70),2000.0
2123,Legal Services Act 2000 (2000 No 42),2000.0
2124,Local Government (Rodney District Council) Amendment Act 2000 (2000 No 10),2000.0
2125,Local Government (Validation of Reappointments) Act 2000 (2000 No 4),2000.0
2126,Maritime Transport Amendment Act 2000 (2000 No 71),2000.0
2127,Ministry of Economic Development Act 2000 (2000 No 28),2000.0
2128,Ministry of Energy (Abolition) Amendment Act 2000 (2000 No 72),2000.0
2129,Misuse of Drugs Amendment Act 2000 (2000 No 47),2000.0
2130,Modern Apprenticeship Training Act 2000 (2000 No 94),2000.0
2131,Museum of Transport and Technology Act 2000 (Private) (2000 No 1),2000.0
2132,New Zealand Public Health and Disability Act 2000 (2000 No 91),2000.0
2133,New Zealand Sports Drug Agency Amendment Act 2000 (2000 No 73),2000.0
2134,New Zealand/Singapore Closer Economic Partnership Act 2000 (Local) (2000 No 95),2000.0
2135,Nurse Maude Association Act 2000 (Private) (2000 No 2),2000.0
2136,Pardon for Soldiers of the Great War Act 2000 (2000 No 29),2000.0
2137,Parliamentary Service Act 2000 (2000 No 17),2000.0
2138,Personal Property Securities Amendment Act 2000 (2000 No 41),2000.0
2139,Physiotherapy Amendment Act 2000 (2000 No 74),2000.0
2140,Police Amendment Act 2000 (2000 No 75),2000.0
2141,Pouakani Claims Settlement Act 2000 (2000 No 90),2000.0
2142,Privacy Amendment Act 2000 (2000 No 76),2000.0
2143,Private Investigators and Security Guards Amendment Act 2000 (2000 No 77),2000.0
2144,Protected Disclosures Act 2000 (2000 No 7),2000.0
2145,Public Finance Amendment Act 2000 (2000 No 78),2000.0
2146,Racing Amendment Act 2000 (2000 No 79),2000.0
2147,Radiocommunications Amendment Act 2000 (2000 No 8),2000.0
2148,Referenda (Postal Voting) Act 2000 (2000 No 48),2000.0
2149,Reserves and Other Lands Disposal Amendment Act 2000 (2000 No 80),2000.0
2150,Securities Amendment Act 2000 (2000 No 35),2000.0
2151,Social Security Amendment Act 2000 (2000 No 81),2000.0
2152,Social Welfare (Transitional Provisions) Amendment Act 2000 (2000 No 88),2000.0
2153,Student Loan Scheme Amendment Act (No 2) 2000 (2000 No 96),2000.0
2154,Student Loan Scheme Amendment Act 2000 (2000 No 33),2000.0
2155,Subordinate Legislation (Confirmation and Validation) Act 2000 (2000 No 93),2000.0
2156,Summary Proceedings Amendment Act 2000 (2000 No 82),2000.0
2157,Taratahi Agricultural Training Centre (Wairarapa) Amendment Act 2000 (2000 No 83),2000.0
2158,Tariff (Zero Duty Removal) Amendment Act 2000 (2000 No 15),2000.0
2159,Tauranga District Council (Route K Toll) Empowering Act 2000 (Local) (2000 No 1),2000.0
2160,Taxation (Annual Rates of Income Tax 2000 - 2001) Act 2000 (2000 No 40),2000.0
2161,"Taxation (FBT, SSCWT and Remedial Matters) Act 2000 (2000 No 34)",2000.0
2162,Taxation (GST and Miscellaneous Provisions) Act 2000 (2000 No 39),2000.0
2163,"Territorial Sea, Contiguous Zone, and Exclusive Economic Zone Amendment Act 2000 (2000 No 84)",2000.0
2164,Transport Amendment Act 2000 (2000 No 85),2000.0
2165,Weights and Measures Amendment Act 2000 (2000 No 86),2000.0
2166,Wildlife (Penalties and Related Matters) Amendment Act 2000 (2000 No 43),2000.0
2167,Wine Makers Amendment Act 2000 (2000 No 87),2000.0
2168,Administration Amendment Act 2001 (2001 No 6),2001.0
2169,Animal Welfare Amendment Act 2001 (2001 No 52),2001.0
2170,Antarctic Marine Living Resources Amendment Act 2001 (2001 No 53),2001.0
2171,Apple and Pear Industry Restructuring Act Repeal Act 2001 (2001 No 50),2001.0
2172,Apple and Pear Industry Restructuring Amendment Act 2001 (2001 No 54),2001.0
2173,Appropriation (1999/2000 Financial Review) Act 2001 (2001 No 2),2000.0
2174,Appropriation (2000/01 Supplementary Estimates) Act 2001 (2001 No 38),2000.0
2175,Appropriation (2001/02 Estimates) Act 2001 (2001 No 45),2001.0
2176,Armed Forces Discipline Amendment Act 2001 (2001 No 55),2001.0
2177,Auckland Aotea Centre Empowering Amendment Act 2001 (Local) (2001 No 4),2001.0
2178,Auckland City Endowments and Reserves Amendment Act 2001 (Local) (2001 No 2),2001.0
2179,Auckland Improvement Trust Amendment Act 2001 (Local) (2001 No 5),2001.0
2180,Bay of Plenty Regional Council (Maori Constituency Empowering) Act 2001 (Local) (2001 No 1),2001.0
2181,"Births, Deaths, and Marriages Registration Amendment Act 2001 (2001 No 56)",2001.0
2182,Broadcasting Amendment Act 2001 (2001 No 57),2001.0
2183,Child Support Amendment Act 2001 (2001 No 90),2001.0
2184,"Children, Young Persons, and Their Families Amendment Act 2001 (2001 No 3)",2001.0
2185,Citizenship Amendment Act (No 2) 2001 (2001 No 95),2001.0
2186,Citizenship Amendment Act 2001 (2001 No 58),2001.0
2187,Civil Aviation (Medical Certification) Amendment Act 2001 (2001 No 87),2001.0
2188,Commerce (Clearance Validation) Amendment Act 2001 (2001 No 89),2001.0
2189,Commerce Amendment Act (No 2) 2001 (2001 No 41),2001.0
2190,Commerce Amendment Act 2001 (2001 No 32),2001.0
2191,Companies (Registration of Charges) Amendment Act 2001 (2001 No 19),2001.0
2192,Companies Act 1955 Amendment Act 2001 (2001 No 17),2001.0
2193,Companies Act 1993 Amendment Act 2001 (2001 No 18),2001.0
2194,Conservation Amendment Act 2001 (2001 No 59),2001.0
2195,Crimes (Bribery of Foreign Public Officials) Amendment Act 2001 (2001 No 28),2001.0
2196,Crimes (Criminal Appeals) Amendment Act 2001 (2001 No 92),2001.0
2197,Crimes Amendment Act 2001 (2001 No 9),2001.0
2198,Criminal Justice Amendment Act 2001 (2001 No 60),2001.0
2199,Customs and Excise Amendment Act 2001 (2001 No 61),2001.0
2200,Dairy Industry Restructuring Act 2001 (2001 No 51),2001.0
2201,Defence Amendment Act 2001 (2001 No 62),2001.0
2202,Dietitians Amendment Act 2001 (2001 No 63),2001.0
2203,District Courts Amendment Act 2001 (2001 No 82),2001.0
2204,Dog Control (Hearing Dogs) Amendment Act 2001 (2001 No 102),2001.0
2205,Education Standards Act 2001 (2001 No 88),2001.0
2206,Electoral (Integrity) Amendment Act 2001 (2001 No 105),2001.0
2207,Electricity Amendment Act (No 2) 2001 (2001 No 64),2001.0
2208,Electricity Amendment Act 2001 (2001 No 40),2001.0
2209,Electricity Industry Reform Amendment Act 2001 (2001 No 42),2001.0
2210,Employment Relations (Validation of Union Registration and Other Matters) Amendment Act Ac 2001 (2001 No 91),2001.0
2211,Fair Trading Amendment Act 2001 (2001 No 20),2001.0
2212,Family Proceedings Amendment Act 2001 (2001 No 7),2001.0
2213,Family Protection Amendment Act 2001 (2001 No 8),2001.0
2214,Financial Reporting Amendment Act 2001 (2001 No 21),2001.0
2215,Fisheries (Remedial Issues) Amendment Act 2001 (2001 No 33),2001.0
2216,Fisheries Amendment Act 2001 (2001 No 65),2001.0
2217,Fishing Industry Board Repeal Act 2001 (2001 No 34),2001.0
2218,"Foundation for Research, Science, and Technology Amendment Act 2001 (2001 No 66)",2001.0
2219,Gas Amendment Act 2001 (2001 No 67),2001.0
2220,Goods and Services Tax Amendment Act 2001 (2001 No 68),2001.0
2221,Government Superannuation Fund Amendment Act 2001 (2001 No 47),2001.0
2222,Habeas Corpus Act 2001 (2001 No 31),2001.0
2223,Hauraki Gulf Marine Park Amendment Act 2001 (2001 No 36),2001.0
2224,Health and Disability Services (Safety) Act 2001 (2001 No 93),2001.0
2225,Housing Corporation Amendment Act 2001 (2001 No 37),2001.0
2226,Human Rights Amendment Act 2001 (2001 No 96),2001.0
2227,Imprest Supply (First for 2001 - 02) Act 2001 (2001 No 39),2001.0
2228,Imprest Supply (Second for 2001 - 02) Act 2001 (2001 No 46),2001.0
2229,Imprest Supply (Third for 2001 - 02) Act 2001 (2001 No 94),2001.0
2230,"Injury Prevention, Rehabilitation, and Compensation Act 2001 (2001 No 49)",2001.0
2231,Insolvency Amendment Act 2001 (2001 No 22),2001.0
2232,Judicature Amendment Act 2001 (2001 No 83),2001.0
2233,Juries Amendment Act 2001 (2001 No 69),2001.0
2234,Land Transport (Road Safety Enforcement) Amendment Act 2001 (2001 No 104),2001.0
2235,Legal Services Amendment Act 2001 (2001 No 70),2001.0
2236,Local Electoral Act 2001 (2001 No 35),2001.0
2237,Local Government (Elected Member Remuneration and Trading Enterprises) Amendment Act 2001 (2001 No 98),2001.0
2238,Local Government (Prohibition of Liquor in Public Places) Amendment Act 2001 (2001 No 106),2001.0
2239,Maori Fisheries Amendment Act 2001 (2001 No 71),2001.0
2240,Maori Purposes Act 1991 Amendment Act 2001 (2001 No 12),2001.0
2241,Maori Purposes Act 1993 Amendment Act 2001 (2001 No 15),2001.0
2242,Maori Purposes Fund Amendment Act 2001 (2001 No 13),2001.0
2243,Maori Soldiers Trust Amendment Act 2001 (2001 No 14),2001.0
2244,Ministry of Energy (Abolition) Amendment Act 2001 (2001 No 43),2001.0
2245,Mutual Assistance in Criminal Matters Amendment Act 2001 (2001 No 72),2001.0
2246,National Parks Amendment Act 2001 (2001 No 73),2001.0
2247,New Zealand Council for Educational Research Amendment Act 2001 (2001 No 74),2001.0
2248,New Zealand Guardian Trust Company Amendment Act 2001 (Private) (2001 No 1),2001.0
2249,New Zealand Superannuation Act 2001 (2001 No 84),2001.0
2250,Oaths and Declarations Amendment Act 2001 (2001 No 75),2001.0
2251,Personal Property Securities Amendment Act 2001 (2001 No 23),2001.0
2252,Pork Industry Board Amendment Act 2001 (2001 No 76),2001.0
2253,Postal Services Amendment Act 2001 (2001 No 77),2001.0
2254,Property (Relationships) Amendment Act 2001 (2001 No 5),2001.0
2255,Public Audit Act 2001 (2001 No 10),2001.0
2256,Public Trust Act 2001 (2001 No 100),2001.0
2257,Rating Powers (Special Provision for Certain Rates for Educational Establishments) Am Act 2001 (2001 No 101),2001.0
2258,Receiverships Amendment Act 2001 (2001 No 24),2001.0
2259,Royal New Zealand Foundation for the Blind Amendment Act 2001 (2001 No 78),2001.0
2260,Sale of Liquor Amendment Act 2001 (2001 No 79),2001.0
2261,Securities Amendment Act (No 2) 2001 (2001 No 29),2001.0
2262,Securities Amendment Act 2001 (2001 No 25),2001.0
2263,Shop Trading Hours Act Repeal Amendment Act 2001 (2001 No 16),2001.0
2264,Social Security Amendment Act (No 2) 2001 (2001 No 44),2001.0
2265,Social Security Amendment Act 2001 (2001 No 1),2001.0
2266,Subordinate Legislation (Confirmation and Validation) Act 2001 (2001 No 99),2001.0
2267,Summit Road (Canterbury) Protection Act 2001 (Local) (2001 No 3),2001.0
2268,Superannuation Schemes Amendment Act 2001 (2001 No 26),2001.0
2269,Sydenham Money Club Act 2001 (Private) (2001 No 2),2001.0
2270,Takeovers Amendment Act 2001 (2001 No 30),2001.0
2271,Taranaki Regional Council Empowering Act 2001 (Local) (2001 No 6),2001.0
